Mean	SD	clf__epsilon	count_grams__binary	tokeniser__ngram_range	tokeniser__tokeniser_func	clf__C 
0.584041211414	0.0528652296597	0.1	False	(1, 1)	whitespace_tokens	0.1
0.598126732828	0.0586018463319	0.1	False	(1, 2)	unitok_tokens	0.1
0.588831653181	0.0617187417877	0.1	False	(1, 2)	whitespace_tokens	0.1
0.50377157087	0.0517533282831	0.1	False	(2, 2)	unitok_tokens	0.1
0.483480553516	0.0552135111006	0.1	False	(2, 2)	whitespace_tokens	0.1
0.590499514641	0.037777490048	0.001	True	(1, 1)	unitok_tokens	1
0.583654321778	0.0516027132262	0.001	True	(1, 1)	whitespace_tokens	1
0.607484856406	0.0561182639918	0.001	True	(1, 2)	unitok_tokens	1
0.594811091951	0.0615381115686	0.001	True	(1, 2)	whitespace_tokens	1
0.503935407087	0.045413105745	0.001	True	(2, 2)	unitok_tokens	1
0.485837769383	0.0527468189929	0.001	True	(2, 2)	whitespace_tokens	1
0.592115695948	0.0376777626357	0.001	False	(1, 1)	unitok_tokens	1
0.584922634786	0.0497911758398	0.001	False	(1, 1)	whitespace_tokens	1
0.6084669445	0.0569312854006	0.001	False	(1, 2)	unitok_tokens	1
0.595003017872	0.0607870384462	0.001	False	(1, 2)	whitespace_tokens	1
0.504236416335	0.0456684945537	0.001	False	(2, 2)	unitok_tokens	1
0.486380021448	0.0529470695632	0.001	False	(2, 2)	whitespace_tokens	1
0.591736329567	0.0375846974158	0.01	True	(1, 1)	unitok_tokens	1
0.584752664418	0.0510197270676	0.01	True	(1, 1)	whitespace_tokens	1
0.607051863199	0.0563447721069	0.01	True	(1, 2)	unitok_tokens	1
0.595173448536	0.0615109760172	0.01	True	(1, 2)	whitespace_tokens	1
0.504715679659	0.0454520416151	0.01	True	(2, 2)	unitok_tokens	1
0.486818907454	0.0525758801174	0.01	True	(2, 2)	whitespace_tokens	1
0.593635143788	0.0372451159646	0.01	False	(1, 1)	unitok_tokens	1
0.585942209215	0.0492312500152	0.01	False	(1, 1)	whitespace_tokens	1
0.60803579745	0.056575447952	0.01	False	(1, 2)	unitok_tokens	1
0.59517144451	0.0607172420442	0.01	False	(1, 2)	whitespace_tokens	1
0.505013644716	0.0456673817658	0.01	False	(2, 2)	unitok_tokens	1
0.487094575896	0.0528857568101	0.01	False	(2, 2)	whitespace_tokens	1
0.587741896271	0.0390507073662	0.1	True	(1, 1)	unitok_tokens	1
0.5853462553	0.0471718638577	0.1	True	(1, 1)	whitespace_tokens	1
0.597567013687	0.0569064986186	0.1	True	(1, 2)	unitok_tokens	1
0.588632154069	0.0619925705522	0.1	True	(1, 2)	whitespace_tokens	1
0.50503534534	0.0494309668505	0.1	True	(2, 2)	unitok_tokens	1
0.48581578989	0.0538621201071	0.1	True	(2, 2)	whitespace_tokens	1
0.589762805897	0.040172998581	0.1	False	(1, 1)	unitok_tokens	1
0.587416139446	0.0462503314716	0.1	False	(1, 1)	whitespace_tokens	1
0.598076934378	0.0585343926281	0.1	False	(1, 2)	unitok_tokens	1
0.588853937062	0.0616664438262	0.1	False	(1, 2)	whitespace_tokens	1
0.505302005611	0.049722434904	0.1	False	(2, 2)	unitok_tokens	1
0.486056678238	0.0542053410911	0.1	False	(2, 2)	whitespace_tokens	1
